enterprise,serviceId,integrationId
preview-devtron,9b891655-e467-4762-86b2-8bd37d212400,0da83597-97ea-4d33-8d67-800515b722b2
cd-devtron,58be0f81-fd1c-4c10-9a86-1c206dd94706,f017f43d-f89a-4ce1-a359-3df23bdbba77
1mg,056255ae-c350-440f-bf88-cd03fb05fea8,99898861-9f94-4d31-adb6-32a569fb5bfd
bharatpe,5eb159ce-9779-41fe-b737-a9b2567ce1d9,5f55f923-8286-43e6-948b-4af08abc02ab
del-platform,9080d570-97e1-48da-93f4-09931a1e3a84,54c42371-5782-4e09-824b-530d0e39a96f
spinny,92968e68-5b41-4afa-bea6-e887e1774e0f,0557ff5c-8350-4da8-a4e0-f4b0af3d173d
cyble,1baa3eca-b5f9-4f40-8a0a-295112a1b3dd,999a4dde-1b37-4eac-8329-6e2277a68c4c
Ather,3b11fda4-f49e-4b16-bec1-e35cbd5154af,56f7dadb-0614-4e74-94a3-766febdc3c61
Birdeye-dev,c13571b6-72bc-4802-aba7-a263523a51c2,31ec573c-b4b6-4fd2-bb4a-1677c1eec296
Bluecopa,c9a41e78-c190-4556-a6e0-f9d5f8c67b33,3045e501-a8fb-4593-8080-25fb14d92f17
Chitale,8042a813-c721-4198-b900-fe3577a359da,782c03db-6f9e-4d49-94d5-222a0db05435
Delhivery,556a7134-e117-424b-8135-f30f76c76a28,aec34f3d-f297-4d0f-8229-c69a65e18880
Khelgroup,b74db974-fc2a-4fbb-aeef-4feba78f58b3,bccd99af-e706-43b9-a5b7-d0a93b56c0bf
Lemnisk,e5d8ce27-7c69-488f-aa1c-e62cba8f3cc8,b725db5d-48a5-4c20-97a2-1f952d6db620
73strings,802ec079-6fae-4e0d-b33e-ac6f7ced21bf,b8fb83fa-4148-48ef-bbdc-00c08eacd646
Otpless,3deb596c-6e10-4439-b8ba-0496ea49573f,74cc30a9-4351-435f-807d-8ea1164e6eef
Emplus,6d37e144-c23d-4efc-909f-889e9a035fc2,6f87702c-85b4-4b2d-bc20-bedb883a1f20
